tipid,a,b,line
272,Aquatone is a DNS discovery tool https://github.com/michenriksen/aquatoneâ€¦. Finds some interesting subdomains that I've not seen in some other sources. :D for ex one time it found me a VPN hostname format that I could then simply brute all combinations to discover more.,,Aquatone is a DNS discovery tool https://github.com/michenriksen/aquatoneâ€¦. Finds some interesting subdomains that I've not seen in some other sources. :D for ex one time it found me a VPN hostname format that I could then simply brute all combinations to discover more.
273,41GB Password dump is a good place to get an idea of username and email formats for target. Also if there are multiple formats in use.,,41GB Password dump is a good place to get an idea of username and email formats for target. Also if there are multiple formats in use.
274,"Password cracking is hard. I love Top297Million-Probable, rockyou was decent for a quick smash, but lately found out about Keyboard Walks. Add keyboard walks with rules into your cracking routines to get more hashes cracked! https://github.com/hashcat/kwprocessor â€¦ Share your ideas!",,"Password cracking is hard. I love Top297Million-Probable, rockyou was decent for a quick smash, but lately found out about Keyboard Walks. Add keyboard walks with rules into your cracking routines to get more hashes cracked! https://github.com/hashcat/kwprocessor â€¦ Share your ideas!"
275,Use Exchange timing attacks to narrow down a predicted list of emails down to an accurate list. Better than checking for bounces. @dafthack https://github.com/dafthack/MailSniper â€¦ implements this attack.,,Use Exchange timing attacks to narrow down a predicted list of emails down to an accurate list. Better than checking for bounces. @dafthack https://github.com/dafthack/MailSniper â€¦ implements this attack.
276,Embed UNC paths into e-mails to leak a hash from the occasional work from home or travelling employee. Several mitigation's for this such as setting no automatic authentication in inetcpl.cpl and use of the host based firewall.,,Embed UNC paths into e-mails to leak a hash from the occasional work from home or travelling employee. Several mitigation's for this such as setting no automatic authentication in inetcpl.cpl and use of the host based firewall. Try using a generic email template.
277,"Got administrative rights across the domain but can't hit certain network segments? Be sure to check out web apps, many places and web apps support â€œscript executionâ€ for administrators. Get a shell and try to hit the target segment from the web app.",,"Got administrative rights across the domain but can't hit certain network segments? Be sure to check out web apps, many places and web apps support â€œscript executionâ€ for administrators. Get a shell and try to hit the target segment from the web app."
278,"Using net users isn't the only way to get users from AD. You don't always need to do it from the endpoint. If EDR is an issue connect to web apps and use intranet, mail, dev stack and other tools to obtain user lists and groups.",,"Using net users isn't the only way to get users from AD. You don't always need to do it from the endpoint. If EDR is an issue connect to web apps and use intranet, mail, dev stack and other tools to obtain user lists and groups."
279,"If you can't beat EDR, go around it! @_RastaMouse",,"If you can't beat EDR, go around it! @_RastaMouse"
280,GPO Misconfigurations are more common than you might think! Not talking about good old cpassword but also file permissions and editable scripts. Check out https://github.com/l0ss/Grouper by @mikeloss that automates this!,,GPO Misconfigurations are more common than you might think! Not talking about good old cpassword but also file permissions and editable scripts. Check out https://github.com/l0ss/Grouper by @mikeloss that automates this!
281,@PyroTek3 has documented lots of AD security related information. Probably not a pure red tip but knowing whether and how the blue team or target might fix an issue definitely helps when trying to discover if they're vulnerable as well as the reporting phase.,,@PyroTek3 has documented lots of AD security related information. Probably not a pure red tip but knowing whether and how the blue team or target might fix an issue definitely helps when trying to discover if they're vulnerable as well as the reporting phase.
282,Although I thought it was clear as Microsoft documented it but LAPS passwords are in clear text to users that have the right privileges in AD. Friendly reminder :) Either just browse LDAP or https://www.harmj0y.net/blog/powershell/running-laps-with-powerview/ â€¦ or https://blog.netspi.com/running-laps-around-cleartext-passwords/ â€¦ @harmj0y @kfosaaen,,Although I thought it was clear as Microsoft documented it but LAPS passwords are in clear text to users that have the right privileges in AD. Friendly reminder :) Either just browse LDAP or https://www.harmj0y.net/blog/powershell/running-laps-with-powerview/ â€¦ or https://blog.netspi.com/running-laps-around-cleartext-passwords/ â€¦ @harmj0y @kfosaaen
283,"Linked to #280, @harmj0y has useful references, information and explanations for discovering GPO permissions. https://www.harmj0y.net/blog/redteaming/abusing-gpo-permissions/ I just used Get-ACL on SYSVOL. Works for me.",,"Linked to #280, @harmj0y has useful references, information and explanations for discovering GPO permissions. https://www.harmj0y.net/blog/redteaming/abusing-gpo-permissions/ I just used Get-ACL on SYSVOL. Works for me."
284,Windows Credential Vault is often used to store saved passwords. @_rastamouse walks us through the decryption procedures required to make use of these credentials in his blog post at https://rastamouse.me/2017/08/jumping-network-segregation-with-rdp/,,Windows Credential Vault is often used to store saved passwords. @_rastamouse walks us through the decryption procedures required to make use of these credentials in his blog post at https://rastamouse.me/2017/08/jumping-network-segregation-with-rdp/
285,Automatically switch to the most profitable coin to mine using @rvrsh3lls crypto currency mining assistance PowerShell scripts! https://github.com/rvrsh3ll/CrypoCurrencyPowerShell/blob/master/Mine-BestCoin.ps1,,Automatically switch to the most profitable coin to mine using @rvrsh3lls crypto currency mining assistance PowerShell scripts! https://github.com/rvrsh3ll/CrypoCurrencyPowerShell/blob/master/Mine-BestCoin.ps1
286,"Look for pentest and Security reports. Inboxes, file shares, intranets. Replicate vulnerabilities that other people find and report but haven't been fixed. I've done this so many times because client decrypts a report and archives it in clear text.",,"Look for pentest and Security reports. Inboxes, file shares, intranets. Replicate vulnerabilities that other people find and report but haven't been fixed. I've done this so many times because client decrypts a report and archives it in clear text."
287,Defender anti ransomware in use? http://www.securitybydefault.com/2018/01/microsoft-anti-ransomware-bypass-not.html?m=1 shows us how we can use a COM object to bypass the anti-write.,,Defender anti ransomware in use? http://www.securitybydefault.com/2018/01/microsoft-anti-ransomware-bypass-not.html?m=1 shows us how we can use a COM object to bypass the anti-write.
288,@3gstudent has enlightened us with a way to fully list all installed applications. https://github.com/3gstudent/3gstudent.github.io/blob/master/_posts/---2018-1-28-æ¸—é€åŸºç¡€â€”â€”èŽ·å¾—å½“å‰ç³»ç»Ÿå·²å®‰è£…çš„ç¨‹åºåˆ—è¡¨.md Some applications could not be enumerated using WMI,,@3gstudent has enlightened us with a way to fully list all installed applications. Some applications could not be enumerated using WMI. 
289,"Don't use WMI to query Win32_Product. Makes an event log entry for tons of MSIinstaller source. Holy crap, this is going on my black list.",,"Don't use WMI to query Win32_Product. Makes an event log entry for tons of MSIinstaller source. Holy crap, this is going on my black list."
290,@und3rf10w found that if you kill the threads in Windows Defender it won't detect anything whilst the process still runs. He also did bits of testing against Carbon Black. Good read! Extension of Phant0m http://www.insomniacsecurity.com/2017/08/27/phant0m.html,,@und3rf10w found that if you kill the threads in Windows Defender it won't detect anything whilst the process still runs. He also did bits of testing against Carbon Black. Good read! Extension of Phant0m http://www.insomniacsecurity.com/2017/08/27/phant0m.html
291,"Need user IPs without noisy hunting scripts? Pull homeDirs from AD, pwn share, extract host from %USERPROFILE%\Links\Desktop.lnk",,"Need user IPs without noisy hunting scripts? Pull homeDirs from AD, pwn share, extract host from %USERPROFILE%\Links\Desktop.lnk"
292,3snake lets you dump sshd and sudo related strings to obtain further credentials on rooted servers. https://github.com/blendin/3snake,,3snake lets you dump sshd and sudo related strings to obtain further credentials on rooted servers. https://github.com/blendin/3snake
293,@evilcos has gotten ZoomEye back up! If you've not used ZoomEye I recommend trying it out. You might get differing results to existing tools! https://www.zoomeye.org/,,@evilcos has gotten ZoomEye back up! If you've not used ZoomEye I recommend trying it out. You might get differing results to existing tools! https://www.zoomeye.org/
294,If you're using cloud infrastructure for listening posts / redirectors it's worth checking the IP against known black lists. Just so that it doesn't end up tainting the reputation of associated domains!,,If you're using cloud infrastructure for listening posts / redirectors it's worth checking the IP against known black lists. Just so that it doesn't end up tainting the reputation of associated domains!
295,"Most Windows deployment tutorials recommend hard-coding server or domain (admin) credentials in the PXE boot environment. Find the WDS server, send it a DHCP broadcast, and download the TFTP capsule. From @swiftonsecurity",,"Most Windows deployment tutorials recommend hard-coding server or domain (admin) credentials in the PXE boot environment. Find the WDS server, send it a DHCP broadcast, and download the TFTP capsule. From @swiftonsecurity"
296,CACTUSTORCH weaponises James Forshaw's Dotnet2js research. Allows shellcode execution in JS and HTA files as well as an alternate for Macros. This is being used in the wild and you should know about it! It's proved useful in EDR cases too! https://github.com/mdsecactivebreach/CACTUSTORCH,,CACTUSTORCH weaponises James Forshaw's Dotnet2js research. Allows shellcode execution in JS and HTA files as well as an alternate for Macros. This is being used in the wild and you should know about it! It's proved useful in EDR cases too! https://github.com/mdsecactivebreach/CACTUSTORCH
297,"Domain Admins is not the only privileged group. Account Operators, Backup Operators, DNS Admins and more exist. Read up with @pyrotek3 https://adsecurity.org/?p=3700",,"Domain Admins is not the only privileged group. Account Operators, Backup Operators, DNS Admins and more exist. Read up with @pyrotek3 https://adsecurity.org/?p=3700"
298,Backup images on disk with world readable access rights. I see this ALL THE TIME. Check out https://rastamouse.me/2018/02/vhd-to-da/ by @_rastamouse teaching us how to read VHD without transferring 50 GB.,,Backup images on disk with world readable access rights. I see this ALL THE TIME. Check out https://rastamouse.me/2018/02/vhd-to-da/ by @_rastamouse teaching us how to read VHD without transferring 50 GB.
300,Renaming Mimikatz to Mimidogz will bypass China common security products such as 360. :),,Renaming Mimikatz to Mimidogz will bypass China common security products such as 360. :)
301,"Your customers security is dependent on yours. With that requirement, I recommend writing a PowerShell script that makes a mobile push to your phone every time you unlock or startup your machine. Similar for SSH onto servers.",,"Your customers security is dependent on yours. With that requirement, I recommend writing a PowerShell script that makes a mobile push to your phone every time you unlock or startup your machine. Similar for SSH onto servers."
302,MSSQL,Domain user -> public role -> UNC leak -> relay or crack using eg. Inveigh -> suddenly born as a new man! https://github.com/NetSPI/PowerUpSQL other cool bits in here worth noting. I do OS admin to SYSADMIN a lot! https://github.com/NetSPI/PowerUpSQL,MSSQL Domain user -> public role -> UNC leak -> relay or crack using eg. Inveigh -> suddenly born as a new man! https://github.com/NetSPI/PowerUpSQL other cool bits in here worth noting. I do OS admin to SYSADMIN a lot! https://github.com/NetSPI/PowerUpSQL
303,Look for open S3 buckets using https://github.com/sa7mon/S3Scanner I found 1400 buckets in about 1 hour. Good practice to make sure your client isn't vulnerable to such attacks and if In red team you might be able to use it to serve payload stages or create waterhole attacks. In total I found over 6000.,,Look for open S3 buckets using https://github.com/sa7mon/S3Scanner I found 1400 buckets in about 1 hour. Good practice to make sure your client isn't vulnerable to such attacks and if In red team you might be able to use it to serve payload stages or create waterhole attacks. In total I found over 6000.
304,"Phish creds on target sites. Forums and other areas let you post image links. [img]url/cat.png[/img] for example. Use https://github.com/vysec/basicAuth , set PNG as a PHP execution extension. Embed that PNG and whenever someone visits the page it will prompt for credentials.",,"Phish creds on target sites. Forums and other areas let you post image links. [img]url/cat.png[/img] for example. Use https://github.com/vysec/basicAuth , set PNG as a PHP execution extension. Embed that PNG and whenever someone visits the page it will prompt for credentials."
305,"Why are privileged / admin user code execution vulnerabilities a thing in web app reports? Because if you're privileged and can execute code on a web app, you can use it to Pivot into segments, extract secrets from the box, intercept comms, and all that good stuff.",,"Why are privileged / admin user code execution vulnerabilities a thing in web app reports? Because if you're privileged and can execute code on a web app, you can use it to Pivot into segments, extract secrets from the box, intercept comms, and all that good stuff."
306,"The supreme art of war is to subdue the enemy without fighting. In my opinion, get to the goal without having to privesc and move laterally or compromise unnecessary assets or cause collateral damage and noise.",,"The supreme art of war is to subdue the enemy without fighting. In my opinion, get to the goal without having to privesc and move laterally or compromise unnecessary assets or cause collateral damage and noise."
307,"Stuck against some EDR, or just want to add some complexity to your payload to better train the blue team? Check out SharpShooter by @domchell, a payload generation framework. https://www.mdsec.co.uk/2018/03/payload-generation-using-sharpshooter/",,"Stuck against some EDR, or just want to add some complexity to your payload to better train the blue team? Check out SharpShooter by @domchell, a payload generation framework. https://www.mdsec.co.uk/2018/03/payload-generation-using-sharpshooter/"
308,List RDP connections history with @3gstudent https://github.com/3gstudent/List-RDP-Connections-History â€¦ Useless in times where you don't have a GUI. I'd combine it with cmdkey to see what's in vault to figure out where the user may have access :) #redteam #pentest #security,,List RDP connections history with @3gstudent https://github.com/3gstudent/List-RDP-Connections-History â€¦ Useless in times where you don't have a GUI. I'd combine it with cmdkey to see what's in vault to figure out where the user may have access :) #redteam #pentest #security
309,"If DMARC policy is set to the root domain, but not sub domains, check if subdomain policy is applied. If not, spoof from arbitrary subdomains instead :)",,"If DMARC policy is set to the root domain, but not sub domains, check if subdomain policy is applied. If not, spoof from arbitrary subdomains instead :)"
310,"SOC is looking for low user/access count new domains that haven't been seen before and you can't domain front due to RFC2616 proxy? When doing the phish, add invisible image links to your C2 domain so that multiple users will have loaded the C2 domain before use. By the time the domain is used, it won't be a low number of users who have accessed the domain, it can be like 20. Then when the C2 goes in, it's no longer new and low user count. And just to be safe, I'd load unused domains too, like ones that don't belong to you. So that the SOC can go on a wild goose chase even if they think they know what you're doing. Even better, load a JS snippet that just keeps reloading resources from the websites so that there's more hit count per user :D",,"SOC is looking for low user/access count new domains that haven't been seen before and you can't domain front due to RFC2616 proxy? When doing the phish, add invisible image links to your C2 domain so that multiple users will have loaded the C2 domain before use. By the time the domain is used, it won't be a low number of users who have accessed the domain, it can be like 20. Then when the C2 goes in, it's no longer new and low user count. And just to be safe, I'd load unused domains too, like ones that don't belong to you. So that the SOC can go on a wild goose chase even if they think they know what you're doing. Even better, load a JS snippet that just keeps reloading resources from the websites so that there's more hit count per user :D"
311,Check out goaccess -> apt-get install goaccess. Then goaccess -f /var/log/nginx/access.log Pretty cool! Now you can see who's hitting your redirector and what they're grabbing at all times in live view? Good for red team dash boards.,,Check out goaccess -> apt-get install goaccess. Then goaccess -f /var/log/nginx/access.log Pretty cool! Now you can see who's hitting your redirector and what they're grabbing at all times in live view? Good for red team dash boards.
312,Sandboxes run Macros without prompting right? What if you wrote your Macro to check that it's set to run without prompting and don't run? :) only run if it's on enable content setting... which is more likely to be observed in a real environment.,,Sandboxes run Macros without prompting right? What if you wrote your Macro to check that it's set to run without prompting and don't run? :) only run if it's on enable content setting... which is more likely to be observed in a real environment.
313,"Combine DomLink https://vincentyiu.co.uk/domlink-automating-domain-discovery/ â€¦ with zgrep -f doms-filter.txt scans.gz | awk -F\""name\"":\"" '{print $2}' | awk -F""\"",\""type '{print $1}' | tee -a doms-subs.txt to get a nice list of subdomains for every DomLink recovered associated domain? :)",,"Combine DomLink https://vincentyiu.co.uk/domlink-automating-domain-discovery/ â€¦ with zgrep -f doms-filter.txt scans.gz | awk -F\""name\"":\"" '{print $2}' | awk -F""\"",\""type '{print $1}' | tee -a doms-subs.txt to get a nice list of subdomains for every DomLink recovered associated domain? :)"
314,Ton of injection techniques implemented here for reference. https://github.com/rootm0s/Injectors â€¦ Although mainly in cpp :),,Ton of injection techniques implemented here for reference. https://github.com/rootm0s/Injectors â€¦ Although mainly in cpp :)
315,"If you HAVE to spray for creds, use Kerberos spraying as pointed out by @ropnop that the level of auditing is far less by default and does not log invalid attempts. https://github.com/ropnop/kerberos_windows_scripts",,"If you HAVE to spray for creds, use Kerberos spraying as pointed out by @ropnop that the level of auditing is far less by default and does not log invalid attempts. https://github.com/ropnop/kerberos_windows_scripts"
316,Not enough space for a full payload and want to avoid staging in an LNK format? Try @felixw3000 guide on embedding larger payloads into self extracting LNK files. https://uperesia.com/booby-trapped-shortcut â€¦,,Not enough space for a full payload and want to avoid staging in an LNK format? Try @felixw3000 guide on embedding larger payloads into self extracting LNK files. https://uperesia.com/booby-trapped-shortcut â€¦
317,Stuck on finding benign or of phishing context for target? Try out https://www.goodemailcopy.com/ for some inspirations! https://greatemailcopy.com/ and https://reallygoodemails.com/ and https://codepen.io/reallygoodemails/,,Stuck on finding benign or of phishing context for target? Try out https://www.goodemailcopy.com/ for some inspirations! https://greatemailcopy.com/ and https://reallygoodemails.com/ and https://codepen.io/reallygoodemails/
318,"Need a way to manage high-level and performed actions per day? @xmind might be a good tool to help you do that. You can arrange per day on major actions performed, you can also put notes into it. https://www.xmind.net/zen/",,"Need a way to manage high-level and performed actions per day? @xmind might be a good tool to help you do that. You can arrange per day on major actions performed, you can also put notes into it. https://www.xmind.net/zen/"
319,Builtwith is pretty useful for linking domains using trackers. It also does Shared IP / infrastructure links and displays technologies used. https://builtwith.comthanks to @Jhaddix for pointing it out in his @Bugcrowd talk!,,Builtwith is pretty useful for linking domains using trackers. It also does Shared IP / infrastructure links and displays technologies used. https://builtwith.comthanks to @Jhaddix for pointing it out in his @Bugcrowd talk!
320,List Chrome bookmarks with one line:,,"List Chrome bookmarks with one line: type ""C:\Users\%USERNAME%\AppData\Local\Google\Chrome\User Data\Default\Bookmarks.bak"" | findstr /c ""name url"" | findstr /v ""type"". Thank @francisacer1 for the path to Bookmarks.bak :D"
321,"Want to find out if the current network has an external exposed interface? Eg. Wireless networks? An easy way is to visit https://ifconfig.co/port/80 on port 22,80,443 for a quick idea. You might find that your current network has another way in!",,"Want to find out if the current network has an external exposed interface? Eg. Wireless networks? An easy way is to visit https://ifconfig.co/port/80 on port 22,80,443 for a quick idea. You might find that your current network has another way in!"
322,"Logging the date and time is really important. Go to http://bashrcgenerator.com and generate a fancy looking, and useful time on your terminal for bash. I combine this with script ~/OPNAME_DATE.txt.",,"Logging the date and time is really important. Go to http://bashrcgenerator.com and generate a fancy looking, and useful time on your terminal for bash. I combine this with script ~/OPNAME_DATE.txt."
323,"Recruiters adding you on LinkedIn? Make the most out of it! 1) Recruitment / Job templates for use in campaigns, 2) Job site you can clone / reference when making your own, 3) Second and third degree connections to target organisations!",,"Recruiters adding you on LinkedIn? Make the most out of it! 1) Recruitment / Job templates for use in campaigns, 2) Job site you can clone / reference when making your own, 3) Second and third degree connections to target organisations!"
324,Easy way to get Microsoft tenant ID,"https://login.windows.net/companyname.onmicrosoft.com/.well-known/openid-configuration. Not sure why when I Google Tenant ID, people censor it out when it's publicly accessible without any authentication. Bunch of interesting output from the request anyhow.","Easy way to get Microsoft tenant ID https://login.windows.net/companyname.onmicrosoft.com/.well-known/openid-configuration. Not sure why when I Google Tenant ID, people censor it out when it's publicly accessible without any authentication. Bunch of interesting output from the request anyhow."
325,"WPA2 PSK can be cracked on Hashcat too, just in case you were not aware. All you do is make cap2hccapx https://github.com/hashcat/hashcat-utils â€¦ then convert the handshake CAP file to HCCAPX then crack it in Hashcat mode 2500 :)",,"WPA2 PSK can be cracked on Hashcat too, just in case you were not aware. All you do is make cap2hccapx https://github.com/hashcat/hashcat-utils â€¦ then convert the handshake CAP file to HCCAPX then crack it in Hashcat mode 2500 :)"
326,WHOIS Protection in place on domains? Try get WHOIS information from the Autonomous System Number then use that to perform reverse WHOIS to find additional domains. https://dnslytics.com/bgp/us,,WHOIS Protection in place on domains? Try get WHOIS information from the Autonomous System Number then use that to perform reverse WHOIS to find additional domains. https://dnslytics.com/bgp/us
327,Hashcat doesn't run through special characters if you use -a 3 for passwords of length < 6. Use -a 3 -1 ?u?l?s ?1?1?1?1?1 instead.,,Hashcat doesn't run through special characters if you use -a 3 for passwords of length < 6. Use -a 3 -1 ?u?l?s ?1?1?1?1?1 instead.
328,"Need to Spray Office365? Use https://bitbucket.org/grimhacker/office365userenum. Tried and tested this tool and works really fast and well in Python. Just do --threads 3000 and --password Welcome1. As all operators know, you don't have time to be testing tools in the middle of a gig. :)",,"Need to Spray Office365? Use https://bitbucket.org/grimhacker/office365userenum. Tried and tested this tool and works really fast and well in Python. Just do --threads 3000 and --password Welcome1. As all operators know, you don't have time to be testing tools in the middle of a gig. :)"
329,Running a long gig? Use CloudFlare certificate that lasts 15 years instead of LetsEncrypt. LetsEncrypt lasts like 3 months and requires renewal. If you're domain fronting you don't want to be changing and updating certs to prevent 502 errors.,,Running a long gig? Use CloudFlare certificate that lasts 15 years instead of LetsEncrypt. LetsEncrypt lasts like 3 months and requires renewal. If you're domain fronting you don't want to be changing and updating certs to prevent 502 errors.
330,Against Palo Alto? Default exemptions by @n00py1 https://pastebin.com/raw/Fa0nqg5g. Domain Fronting compatible list at https://github.com/vysec/DomainFrontingLists/blob/master/CloudFront-SSL-PA-Exempt.txt,,Against Palo Alto? Default exemptions by @n00py1 https://pastebin.com/raw/Fa0nqg5g. Domain Fronting compatible list at https://github.com/vysec/DomainFrontingLists/blob/master/CloudFront-SSL-PA-Exempt.txt
331,"If you get errors RDPing to a Windows 10 box from Mac OSX or Windows 7, try a Windows 10 box :). Same vice versa with Windows 10 box RDPing to Windows 7 boxes you might have issues, so try using a Windows 7 box. Recent CREDSSP security patch screws it.",,"If you get errors RDPing to a Windows 10 box from Mac OSX or Windows 7, try a Windows 10 box :). Same vice versa with Windows 10 box RDPing to Windows 7 boxes you might have issues, so try using a Windows 7 box. Recent CREDSSP security patch screws it."
332,"If you're new to Red Team, or are performing a complex series of campaigns and attacks then I recommend using a WHITEBOARD. Yes, a whiteboard. It helps to draft out attacks, list out infrastructure, lets you visualize your campaign chain.",,"If you're new to Red Team, or are performing a complex series of campaigns and attacks then I recommend using a WHITEBOARD. Yes, a whiteboard. It helps to draft out attacks, list out infrastructure, lets you visualize your campaign chain."
333,One liner to grab all cleartext WiFi passwords:,,One liner to grab all cleartext WiFi passwords: (netsh wlan show profiles) | Select-String '\:(.+)$' | %{$name=$_.Matches.Groups[1].Value.Trim(); $_} | %{(netsh wlan show profile name=$name key=clear)}  | Select-String 'Key Content\W+\:(.+)$' | %{$pass=$_.Matches.Groups[1].Value.Trim(); $_} | %{[PSCustomObject]@{ PROFILE_NAME=$name;PASSWORD=$pass }}
334,Don't spend too much time fixated on a rabbit hole. In a CTF you know you can â€œtry harderâ€ but in real life you often have to kick back and rethink what you're doing. There's so many times where I've found a way to pivot and continue after some good rest.,,Don't spend too much time fixated on a rabbit hole. In a CTF you know you can â€œtry harderâ€ but in real life you often have to kick back and rethink what you're doing. There's so many times where I've found a way to pivot and continue after some good rest.
335,Use copy with the /z flag to make resumable file transfers on Windows. @guyrleech,,Use copy with the /z flag to make resumable file transfers on Windows. @guyrleech
336,"Technical teams often pride themselves on technical capabilities and complexity. In real operations, less is more. The more simple and effective a solution or campaign is, the better. You most probably don't need that mega complex payload or exploit path.",,"Technical teams often pride themselves on technical capabilities and complexity. In real operations, less is more. The more simple and effective a solution or campaign is, the better. You most probably don't need that mega complex payload or exploit path."
337,Have a low privileged Office365 account? Pivot over to portal.azure.com after logging in and you can access the Azure AD. If they're syncing AD you suddenly get to view all the groups. Also check out Azure CLI. From @ustayready's @WWHackinFest talk!,,Have a low privileged Office365 account? Pivot over to portal.azure.com after logging in and you can access the Azure AD. If they're syncing AD you suddenly get to view all the groups. Also check out Azure CLI. From @ustayready's @WWHackinFest talk!
338,"Geographical TTPs should be kept in mind. TTPs that may not be as effective in one location may work wonders in another. Consider defensive solutions, legislation, export controls, compliance etc on that organization within different regions.",,"Geographical TTPs should be kept in mind. TTPs that may not be as effective in one location may work wonders in another. Consider defensive solutions, legislation, export controls, compliance etc on that organization within different regions."
339,Effective TTPs can differ depending on industry or organization size. An example may be that SMEs may be more likely vulnerable to a credential stuffing attack compared to a global financial organization because less policies around password rotation and expiry.,,Effective TTPs can differ depending on industry or organization size. An example may be that SMEs may be more likely vulnerable to a credential stuffing attack compared to a global financial organization because less policies around password rotation and expiry.
340,Not sure what countries your target operates in? Find out where all their servers are at least! Automate all the IP -> lat long and then use a Mapping framework to visualize. Works great.,,Not sure what countries your target operates in? Find out where all their servers are at least! Automate all the IP -> lat long and then use a Mapping framework to visualize. Works great.
341,VPNHunter can be used to automatically map out some common services such as VPN and dependent cloud services. http://VPNHunter.com,,VPNHunter can be used to automatically map out some common services such as VPN and dependent cloud services. http://VPNHunter.com
342,"If you're running C2 Infrastructure, at least age the domain, build reputation, and SERVE SOME CONTENT on the web root. Oh yeah, don't forget to use VALID CERTIFICATES also.",,"If you're running C2 Infrastructure, at least age the domain, build reputation, and SERVE SOME CONTENT on the web root. Oh yeah, don't forget to use VALID CERTIFICATES also."
343,"When working with Google Drive documents, if it asks you to request permission, you can try. However, you can also try sticking /pubhtml at the end to see if they've published a copy that you can view.",,"When working with Google Drive documents, if it asks you to request permission, you can try. However, you can also try sticking /pubhtml at the end to see if they've published a copy that you can view."
344,"Set HKLM\System\CurrentControlSet\Control\TerminalServer /v fSingleSessionPerUser /d 0, to allow multiple sessions on a server per user. This is useful if you want to login to the jump-host, but that guy's just on all-day-long... ðŸ˜¶",,"Set HKLM\System\CurrentControlSet\Control\TerminalServer /v fSingleSessionPerUser /d 0, to allow multiple sessions on a server per user. This is useful if you want to login to the jump-host, but that guy's just on all-day-long... ðŸ˜¶"
345,"When placing Excel Macro backdoors into Excel startup, you don't have to name it Personal.xlsb, you can also call it ""Draft"" with no extension. It'll still start up upon opening of Excel.... Bonus point for sticking it into Roaming profile. Insert any Macro doc into:c:\users\%username%\appdata\roaming\microsoft\excel\xlstart\ There won't be any Macro prompts either because it's a trusted location by default.",,"When placing Excel Macro backdoors into Excel startup, you don't have to name it Personal.xlsb, you can also call it ""Draft"" with no extension. It'll still start up upon opening of Excel.... Bonus point for sticking it into Roaming profile. Insert any Macro doc into:c:\users\%username%\appdata\roaming\microsoft\excel\xlstart\ There won't be any Macro prompts either because it's a trusted location by default."
346,"Can't find any associated domains due to whois privacy? Try this! If they use ProofPoint or other mail filtering solutions, you can try to do reverse MX lookup for that dedicated instance and you can find other tenants who are related ðŸ˜Š",,"Can't find any associated domains due to whois privacy? Try this! If they use ProofPoint or other mail filtering solutions, you can try to do reverse MX lookup for that dedicated instance and you can find other tenants who are related ðŸ˜Š"
346,"If SharpHound doesn't work with --DomainController against the DC IP, try with the domain FQDN such as msp.local. (e.g.",sharphound -c All -d msp.local --DomainController msp.local) @SecurityTube and Mysterious Rex!,"If SharpHound doesn't work with --DomainController against the DC IP, try with the domain FQDN such as msp.local. (e.g. sharphound -c All -d msp.local --DomainController msp.local) @SecurityTube and Mysterious Rex!"
